Well identifier	Surface	MD
233P	top_J1-3A	2735.80
233P	base_J1-3A	2744.60
233P	top_J1-3	2744.60
233P	base_J1-3	2762.00
235P	BAJ	2704.90
235P	top_J1-2	2706.20
235P	base_J1-2	2709.00
235P	top_J1-3A	2714.60
235P	base_J1-3A	2721.00
235P	top_J1-3	2725.80
235P	base_J1-3	2734.80
274(G)	BAJ	2940.80
274(G)	top_J1-2	2942.60
274(G)	base_J1-2	2945.20
274(G)	top_J1-3A	2952.60
274(G)	base_J1-3A	2958.40
274(G)	top_J1-3	2958.40
274(G)	base_J1-3	2978.40
276(G)	BAJ	2871.00
276(G)	top_J1-2	2875.00
276(G)	base_J1-2	2880.40
276(G)	top_J1-3A	2886.80
276(G)	base_J1-3A	2889.60
276(G)	top_J1-3	2889.60
276(G)	base_J1-3	2904.00
277(G)	BAJ	2827.60
277(G)	top_J1-2	2829.00
277(G)	base_J1-2	2835.00
277(G)	top_J1-MU	2835.80
277(G)	base_J1-MU	2840.40
277(G)	top_J1-3A	2844.60
277(G)	base_J1-3A	2851.40
277(G)	top_J1-3	2851.40
277(G)	base_J1-3	2861.80
278(G)	BAJ	2804.80
278(G)	top_J1-2	2806.60
278(G)	base_J1-2	2810.40
278(G)	top_J1-3A	2818.80
278(G)	base_J1-3A	2825.40
278(G)	top_J1-3	2825.40
278(G)	base_J1-3	2834.60
279(G)	BAJ	2766.20
279(G)	top_J1-2	2767.60
279(G)	base_J1-2	2772.80
279(G)	top_J1-3A	2780.20
279(G)	base_J1-3A	2785.40
279(G)	top_J1-3	2785.40
279(G)	base_J1-3	2795.00
280(G)	BAJ	2831.80
280(G)	top_J1-2	2833.60
280(G)	base_J1-2	2839.20
280(G)	top_J1-3A	2847.00
280(G)	base_J1-3A	2853.20
280(G)	top_J1-3	2853.20
280(G)	base_J1-3	2863.00
281(G)	BAJ	2842.20
281(G)	top_J1-2	2843.20
281(G)	base_J1-2	2849.00
281(G)	top_J1-3A	2855.20
281(G)	base_J1-3A	2859.60
281(G)	top_J1-3	2859.60
281(G)	base_J1-3	2870.00
282(G)	BAJ	2808.80
282(G)	top_J1-2	2812.00
282(G)	base_J1-2	2816.00
282(G)	top_J1-3A	2822.00
282(G)	base_J1-3A	2828.20
282(G)	top_J1-3	2828.20
282(G)	base_J1-3	2835.80
288(G)	BAJ	3409.00
288(G)	top_J1-2	3411.60
288(G)	base_J1-2	3415.20
288(G)	top_J1-3A	3424.60
288(G)	base_J1-3A	3432.00
288(G)	top_J1-3	3432.00
288(G)	base_J1-3	3455.40
293(G)	BAJ	2899.80
293(G)	top_J1-2	2901.80
293(G)	base_J1-2	2905.40
293(G)	top_J1-3A	2912.80
293(G)	base_J1-3A	2921.40
293(G)	top_J1-3	2921.40
293(G)	base_J1-3	2942.20
294(G)	BAJ	3026.60
294(G)	top_J1-2	3028.20
294(G)	base_J1-2	3030.60
294(G)	top_J1-3A	3038.40
294(G)	base_J1-3A	3043.40
294(G)	top_J1-3	3043.40
294(G)	base_J1-3	3064.20
297(G)	BAJ	3198.00
297(G)	top_J1-2	3199.80
297(G)	base_J1-2	3202.60
297(G)	top_J1-3A	3211.40
297(G)	base_J1-3A	3215.20
297(G)	top_J1-3	3215.20
297(G)	base_J1-3	3241.40
298	BAJ	2935.00
298	top_J1-2	2936.40
298	base_J1-2	2944.20
298	top_J1-3A	2947.40
298	base_J1-3A	2957.80
298	top_J1-3	2957.80
298	base_J1-3	2976.80
299	BAJ	2972.20
299	top_J1-2	2973.60
299	base_J1-2	2977.40
299	top_J1-3A	2985.20
299	base_J1-3A	2993.40
299	top_J1-3	2993.40
299	base_J1-3	3014.80
300	BAJ	3183.30
300	top_J1-2	3184.90
300	base_J1-2	3187.10
300	top_J1-3A	3194.30
300	base_J1-3A	3202.00
300	top_J1-3	3202.00
300	base_J1-3	3216.10
300(G)	BAJ	3542.60
300(G)	top_J1-2	3543.40
300(G)	base_J1-2	3544.80
300(G)	top_J1-3A	3551.00
300(G)	base_J1-3A	3555.40
300(G)	top_J1-3	3555.40
300(G)	base_J1-3	3575.20
301	BAJ	3289.20
301	top_J1-2	3290.40
301	base_J1-2	3294.00
301	top_J1-MU	3297.00
301	base_J1-MU	3300.40
301	top_J1-3A	3303.40
301	base_J1-3A	3310.20
301	top_J1-3	3310.20
301	base_J1-3	3324.40
301(G)	BAJ	3510.60
301(G)	top_J1-2	3511.40
301(G)	base_J1-2	3513.00
301(G)	top_J1-3A	3520.80
301(G)	base_J1-3A	3526.20
301(G)	top_J1-3	3526.20
301(G)	base_J1-3	3547.80
303	BAJ	2937.40
303	top_J1-2	2939.00
303	base_J1-2	2941.60
303	top_J1-3A	2947.40
303	base_J1-3A	2956.20
303	top_J1-3	2956.20
303	base_J1-3	2974.60
304	BAJ	3056.40
304	top_J1-2	3057.80
304	base_J1-2	3061.60
304	top_J1-MU	3064.80
304	base_J1-MU	3067.00
304	top_J1-3A	3068.80
304	base_J1-3A	3079.00
304	top_J1-3	3079.00
304	base_J1-3	3094.40
306	BAJ	2844.80
306	top_J1-2	2846.80
306	base_J1-2	2849.80
306	top_J1-3A	2857.20
306	base_J1-3A	2864.80
306	top_J1-3	2864.80
306	base_J1-3	2883.20
307	BAJ	2756.80
307	top_J1-2	2757.80
307	base_J1-2	2764.60
307	top_J1-3A	2766.60
307	base_J1-3A	2776.60
307	top_J1-3	2776.60
307	base_J1-3	2793.40
308	BAJ	2820.00
308	top_J1-2	2821.20
308	base_J1-2	2823.80
308	top_J1-3A	2829.40
308	base_J1-3A	2837.00
308	top_J1-3	2837.00
308	base_J1-3	2857.40
309	BAJ	3058.80
309	top_J1-2	3060.40
309	base_J1-2	3063.60
309	top_J1-MU	3066.00
309	base_J1-MU	3070.00
309	top_J1-3A	3072.20
309	base_J1-3A	3074.40
309	top_J1-3	3076.20
309	base_J1-3	3094.80
309(G)	BAJ	3296.80
309(G)	top_J1-2	3297.40
309(G)	base_J1-2	3298.80
309(G)	top_J1-3A	3304.80
309(G)	base_J1-3A	3310.60
309(G)	top_J1-3	3310.60
309(G)	base_J1-3	3331.00
309_1	BAJ	3171.20
309_1	top_J1-2	3172.60
309_1	base_J1-2	3181.00
309_1	top_J1-3A	3184.40
309_1	base_J1-3A	3187.80
309_1	top_J1-3	3191.00
309_1	base_J1-3	3206.00
310(G)	BAJ	3389.60
310(G)	top_J1-2	3390.40
310(G)	base_J1-2	3391.80
310(G)	top_J1-3A	3397.80
310(G)	base_J1-3A	3403.00
310(G)	top_J1-3	3403.00
310(G)	base_J1-3	3423.00
310_1(G)	BAJ	3523.20
310_1(G)	top_J1-2	3524.20
310_1(G)	base_J1-2	3526.40
310_1(G)	top_J1-3A	3532.00
310_1(G)	base_J1-3A	3537.00
310_1(G)	top_J1-3	3537.00
310_1(G)	base_J1-3	3557.00
311(G)	BAJ	3239.00
311(G)	top_J1-2	3239.40
311(G)	base_J1-2	3241.60
311(G)	top_J1-3A	3245.80
311(G)	base_J1-3A	3251.80
311(G)	top_J1-3	3251.80
311(G)	base_J1-3	3273.80
312	BAJ	2853.00
312	top_J1-2	2854.00
312	base_J1-2	2862.00
312	top_J1-3A	2865.80
312	base_J1-3A	2876.20
312	top_J1-3	2876.20
312	base_J1-3	2893.40
313	BAJ	2700.00
313	top_J1-2	2701.40
313	base_J1-2	2704.80
313	top_J1-3A	2711.20
313	base_J1-3A	2722.40
313	top_J1-3	2722.40
313	base_J1-3	2735.20
314	BAJ	2696.20
314	top_J1-2	2697.60
314	base_J1-2	2701.20
314	top_J1-3A	2706.80
314	base_J1-3A	2715.20
314	top_J1-3	2715.80
314	base_J1-3	2734.80
314(G)	BAJ	2848.80
314(G)	top_J1-2	2851.20
314(G)	base_J1-2	2856.20
314(G)	top_J1-3A	2862.40
314(G)	base_J1-3	2898.00
315(G)	BAJ	3214.80
